,Date,Species,Trap,Lat,Long,AddressAccuracy,WnvPresent,NumMosquitos
0,2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,8,0,1
1,2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,8,0,2
2,2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,8,0,1
3,2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,8,0,1
4,2007-05-29,CULEX RESTUANS,T153,41.907645,-87.760886,8,0,1
5,2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,8,0,2
6,2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,9,0,3
7,2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,8,0,1
8,2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,8,0,2
9,2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,8,0,3
10,2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,8,0,1
11,2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,8,0,1
12,2007-05-29,CULEX PIPIENS,T096,41.731922,-87.677512,8,0,1
13,2007-05-29,CULEX RESTUANS,T096,41.731922,-87.677512,8,0,5
14,2007-05-29,CULEX RESTUANS,T046,41.891118,-87.65449100000001,8,0,1
15,2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,9,0,1
16,2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,9,0,1
17,2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,9,0,1
18,2007-05-29,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,8,0,1
19,2007-05-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,8,0,1
20,2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,8,0,1
21,2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,8,0,4
22,2007-05-29,CULEX RESTUANS,T159,41.732984,-87.649642,8,0,1
23,2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,5,0,1
24,2007-05-29,CULEX RESTUANS,T129,41.891126,-87.61156,5,0,2
25,2007-06-05,CULEX PIPIENS,T048,41.867108,-87.654224,8,0,2
26,2007-06-05,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,8,0,1
27,2007-06-05,CULEX RESTUANS,T048,41.867108,-87.654224,8,0,1
28,2007-06-05,CULEX PIPIENS/RESTUANS,T092,41.869215999999994,-87.627561,8,0,1
29,2007-06-05,CULEX RESTUANS,T049,41.896282,-87.655232,8,0,2
30,2007-06-05,CULEX RESTUANS,T033,41.906638,-87.701431,9,0,3
31,2007-06-05,CULEX RESTUANS,T153,41.907645,-87.760886,8,0,3
32,2007-06-05,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,8,0,1
33,2007-06-05,CULEX PIPIENS,T045,41.9216,-87.666455,8,0,1
34,2007-06-05,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,8,0,1
35,2007-06-05,CULEX RESTUANS,T045,41.9216,-87.666455,8,0,2
36,2007-06-05,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,9,0,2
37,2007-06-05,CULEX RESTUANS,T150,42.006858,-87.675919,9,0,2
38,2007-06-05,CULEX RESTUANS,T154,41.918704999999996,-87.752329,8,0,1
39,2007-06-05,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,8,0,1
40,2007-06-05,CULEX RESTUANS,T050,41.919343,-87.694259,8,0,1
41,2007-06-05,CULEX RESTUANS,T054,41.921965,-87.632085,8,0,3
42,2007-06-05,CULEX RESTUANS,T086,41.688324,-87.676709,8,0,4
43,2007-06-05,CULEX PIPIENS,T096,41.731922,-87.677512,8,0,1
44,2007-06-05,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,8,0,1
45,2007-06-05,CULEX RESTUANS,T096,41.731922,-87.677512,8,0,1
46,2007-06-05,CULEX RESTUANS,T152,41.846075,-87.716277,9,0,1
47,2007-06-05,CULEX RESTUANS,T046,41.891118,-87.65449100000001,8,0,1
48,2007-06-05,CULEX RESTUANS,T147,41.932094,-87.700117,8,0,1
49,2007-06-05,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,9,0,3
