,Lat,Long,AddressAccuracy,Species_Fact,Trap_Fact,Date_Ord,Days_Since_Last_Check,Spray_Factor,TSRA,DZ,BR,BCFG,SN,VCFG,RA,HZ,VCTS,FU,FG+,MIFG,SQ,GR,FG,TS,Temp_Min_both,Temp_Max_both,Temp_Avg_both,Temp_Dew_Point_both,Temp_Wet_Bulb_both,StnPressure_both,Ht_Cool_both,Day Length,Temp_Min,Temp_Max,Temp_Avg,Temp_Dew_Point,StnPressure,Day_Length,Ht_Cool,PrecipTotal,Temp_Min1,Temp_Min2,Temp_Min4,Temp_Min7,Temp_Min10,Temp_Min14,Temp_Max1,Temp_Max2,Temp_Max4,Temp_Max7,Temp_Max10,Temp_Max14,Temp_Dew_Point1,Temp_Dew_Point2,Temp_Dew_Point4,Temp_Dew_Point7,Temp_Dew_Point10,Temp_Dew_Point14,Temp_Avg1,Temp_Avg2,Temp_Avg4,Temp_Avg7,Temp_Avg10,Temp_Avg14,PrecipTotal1,PrecipTotal2,PrecipTotal4,PrecipTotal7,PrecipTotal10,PrecipTotal14
0,41.867108,-87.654224,8,1,6,732825,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62.5,88.0,75.5,58.5,65.5,29.415,-9.0,896,62.5,88.0,75.5,58.5,29.415,896.0,-9.0,0.0,52.0,52.0,49.5,49.5,43.5,42.5,77.5,77.5,77.5,89.0,89.0,89.0,48.0,48.0,55.0,55.0,55.0,56.0,65.0,65.75,63.125,68.2857142857,66.5,64.2142857143,0.0,0.04,1.05,1.07,1.14,1.66
1,41.867108,-87.654224,8,2,6,732825,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62.5,88.0,75.5,58.5,65.5,29.415,-9.0,896,62.5,88.0,75.5,58.5,29.415,896.0,-9.0,0.0,52.0,52.0,49.5,49.5,43.5,42.5,77.5,77.5,77.5,89.0,89.0,89.0,48.0,48.0,55.0,55.0,55.0,56.0,65.0,65.75,63.125,68.2857142857,66.5,64.2142857143,0.0,0.04,1.05,1.07,1.14,1.66
2,41.862292,-87.64886,8,2,11,732825,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62.5,88.0,75.5,58.5,65.5,29.415,-9.0,896,62.5,88.0,75.5,58.5,29.415,896.0,-9.0,0.0,52.0,52.0,49.5,49.5,43.5,42.5,77.5,77.5,77.5,89.0,89.0,89.0,48.0,48.0,55.0,55.0,55.0,56.0,65.0,65.75,63.125,68.2857142857,66.5,64.2142857143,0.0,0.04,1.05,1.07,1.14,1.66
3,41.896282,-87.655232,8,2,7,732825,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62.5,88.0,75.5,58.5,65.5,29.415,-9.0,896,62.5,88.0,75.5,58.5,29.415,896.0,-9.0,0.0,52.0,52.0,49.5,49.5,43.5,42.5,77.5,77.5,77.5,89.0,89.0,89.0,48.0,48.0,55.0,55.0,55.0,56.0,65.0,65.75,63.125,68.2857142857,66.5,64.2142857143,0.0,0.04,1.05,1.07,1.14,1.66
4,41.907645,-87.760886,8,2,17,732825,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62.5,88.0,75.5,58.5,65.5,29.415,-9.0,896,62.5,88.0,75.5,58.5,29.415,896.0,-9.0,0.0,52.0,52.0,49.5,49.5,43.5,42.5,77.5,77.5,77.5,89.0,89.0,89.0,48.0,48.0,55.0,55.0,55.0,56.0,65.0,65.75,63.125,68.2857142857,66.5,64.2142857143,0.0,0.04,1.05,1.07,1.14,1.66
5,41.9216,-87.666455,8,2,4,732825,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62.5,88.0,75.5,58.5,65.5,29.415,-9.0,896,62.5,88.0,75.5,58.5,29.415,896.0,-9.0,0.0,52.0,52.0,49.5,49.5,43.5,42.5,77.5,77.5,77.5,89.0,89.0,89.0,48.0,48.0,55.0,55.0,55.0,56.0,65.0,65.75,63.125,68.2857142857,66.5,64.2142857143,0.0,0.04,1.05,1.07,1.14,1.66
6,41.720848,-87.666014,9,2,12,732825,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62.5,88.0,75.5,58.5,65.5,29.415,-9.0,896,62.5,88.0,75.5,58.5,29.415,896.0,-9.0,0.0,52.0,52.0,49.5,49.5,43.5,42.5,77.5,77.5,77.5,89.0,89.0,89.0,48.0,48.0,55.0,55.0,55.0,56.0,65.0,65.75,63.125,68.2857142857,66.5,64.2142857143,0.0,0.04,1.05,1.07,1.14,1.66
7,41.919343,-87.694259,8,1,8,732825,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62.5,88.0,75.5,58.5,65.5,29.415,-9.0,896,62.5,88.0,75.5,58.5,29.415,896.0,-9.0,0.0,52.0,52.0,49.5,49.5,43.5,42.5,77.5,77.5,77.5,89.0,89.0,89.0,48.0,48.0,55.0,55.0,55.0,56.0,65.0,65.75,63.125,68.2857142857,66.5,64.2142857143,0.0,0.04,1.05,1.07,1.14,1.66
8,41.921965,-87.632085,8,1,9,732825,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62.5,88.0,75.5,58.5,65.5,29.415,-9.0,896,62.5,88.0,75.5,58.5,29.415,896.0,-9.0,0.0,52.0,52.0,49.5,49.5,43.5,42.5,77.5,77.5,77.5,89.0,89.0,89.0,48.0,48.0,55.0,55.0,55.0,56.0,65.0,65.75,63.125,68.2857142857,66.5,64.2142857143,0.0,0.04,1.05,1.07,1.14,1.66
9,41.921965,-87.632085,8,2,9,732825,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62.5,88.0,75.5,58.5,65.5,29.415,-9.0,896,62.5,88.0,75.5,58.5,29.415,896.0,-9.0,0.0,52.0,52.0,49.5,49.5,43.5,42.5,77.5,77.5,77.5,89.0,89.0,89.0,48.0,48.0,55.0,55.0,55.0,56.0,65.0,65.75,63.125,68.2857142857,66.5,64.2142857143,0.0,0.04,1.05,1.07,1.14,1.66
